,Body,Tag
182,"the file in the .svn directory that keeps track of what you have checked out, when, what revision, and from where, has gotten corrupted somehow, for that particular file.    this is no more dangerous or critical than the normal odd file problem, and can be because of various problems, like a subversion program dying mid-change, power-disruption, etc.    unless it happens more i wouldn't make much out of it.    it can be fixed by doing what you did, make a copy of your work-files, check out a fresh copy, and add the modified files back in.    note that this might cause problems if you have a busy project where you would normally have to merge in changes.    for instance, you and a collegue both check out a fresh copy, and start working on the same file. at some point, your collegue checks in his modifications. when you attempt to do the same, you get the checksum problem you have. if you now make copies of your changed files, do a fresh checkout, then subversion will lose track of how your changes should be merged back in.    if you didn't get the problem in this case, when you got around to checkin in your modifications, you would need to update your working copy first, and possibly handle a conflict with your file.    however, if you do a fresh checkout, complete with your collegues changes, it now looks like you removed his changes and substituted with your own. no conflicts, and no indications from subversion that something is amiss.",svn subclipse
183,"i've had to do this before. the only real way to do it is to manually match up the various locations. use your database's console interface and grouping select statements. first, add your ""company name"" field. then:    select count(*) as repcount, ""location name"" from mytable where ""company name"" is null group by ""location name"" order by repcount desc limit 5;    figure out what company the location at the top of the list belongs to and then update your company name field with an update ... where ""location name"" = ""the location"" statement.    p.s. - you should really break your company names and location names out into separate tables and refer to them by their primary keys.    update: - wow - no duplicates  how many records do you have ",database
184,"email address    rational      users don't change emails very often  removes the step of asking for username and email address, which you'll need anyway  users don't often forget their email address (see number one)  email will be unique unless the user already registered for the site, in which case forward them to a forgot your password screen  almost everyone is using email as the primary login for access to a website, this means the rate of adoption shouldn't be affected by the fact that you're asking for an email address          update    after registration, be sure to ask the user to create some kind of username, don't litter a public site with their email address  also, another benefit of using an email address as a login: you won't need any other information (like password / password confirm), just send them a temp password through the mail, or forgo passwords altogether and send them a one-use url to their email address every time they'd like to login (see: mugshot.org)",authentication web-applications account
185,"i guess a fairly big downside is that the extra volume of code that you have to write, manage and maintain for a small project may just be overkill.  it's all down to what's appropriate for the size of the project, the expected life of the final project and the budget   sometimes, whilst doing things 'properly' is appealing, doing something a little more 'lightweight' can be the right commercial decision  ",architecture n-tier
186,what type is selectedyear  a datetime  if so then you might need to convert to a string.,asp.net-mvc asp.net-mvc-routing
187,"when dealing with indexes, you have to determine what your table is going to be used for.  if you are primarily inserting 1000 rows a second and not doing any querying, then a clustered index is a hit to performance.  if you are doing 1000 queries a second, then not having an index will lead to very bad performance.  the best thing to do when trying to tune queries/indexes is to use the query plan analyzer and sql profiler in sql server.  this will show you where you are running into costly table scans or other performance blockers.    as for the guid vs id argument, you can find people online that swear by both.  i have always been taught to use guids unless i have a really good reason not to.  jeff has a good post that talks about the reasons for using guids: http://www.codinghorror.com/blog/archives/000817.html.    as with most anything development related, if you are looking to improve performance there is not one, single right answer.  it really depends on what you are trying to accomplish and how you are implementing the solution.  the only true answer is to test, test, and test again against performance metrics to ensure that you are meeting your goals.    [edit]  @matt, after doing some more research on the guid/id debate i came across this post.  like i mentioned before, there is not a true right or wrong answer.  it depends on your specific implementation needs.  but these are some pretty valid reasons to use guids as the primary key:        for example, there is an issue known as a ""hotspot"", where certain pages of data in a table are under relatively high currency contention. basically, what happens is most of the traffic on a table (and hence page-level locks) occurs on a small area of the table, towards the end. new records will always go to this hotspot, because identity is a sequential number generator. these inserts are troublesome because they require exlusive page lock on the page they are added to (the hotspot). this effectively serializes all inserts to a table thanks to the page locking mechanism. newid() on the other hand does not suffer from hotspots. values generated using the newid() function are only sequential for short bursts of inserts (where the function is being called very quickly, such as during a multi-row insert), which causes the inserted rows to spread randomly throughout the table's data pages instead of all at the end - thus eliminating a hotspot from inserts.        also, because the inserts are randomly distributed, the chance of page splits is greatly reduced. while a page split here and there isnt too bad, the effects do add up quickly. with identity, page fill factor is pretty useless as a tuning mechanism and might as well be set to 100% - rows will never be inserted in any page but the last one. with newid(), you can actually make use of fill factor as a performance-enabling tool. you can set fill factor to a level that approximates estimated volume growth between index rebuilds, and then schedule the rebuilds during off-peak hours using dbcc reindex. this effectively delays the performance hits of page splits until off-peak times.        if you even think you might need to enable replication for the table in question - then you might as well make the pk a uniqueidentifier and flag the guid field as rowguidcol. replication will require a uniquely valued guid field with this attribute, and it will add one if none exists. if a suitable field exists, then it will just use the one thats there.        yet another huge benefit for using guids for pks is the fact that the value is indeed guaranteed unique - not just among all values generated by this server, but all values generated by all computers - whether it be your db server, web server, app server, or client machine. pretty much every modern language has the capability of generating a valid guid now - in .net you can use system.guid.newguid. this is very handy when dealing with cached master-detail datasets in particular. you dont have to employ crazy temporary keying schemes just to relate your records together before they are committed. you just fetch a perfectly valid new guid from the operating system for each new record's permanent key value at the time the record is created.         http://forums.asp.net/t/264350.aspx  ",sql-server indexing
188,"i've done quite a few projects using community server. if you're okay with the out-of-the-box functionality, or you don't mind sticking to the version you start with, i think you'll be very happy.    the times i've run into headaches using cs is when the client wants functionality cs does not provide, but also insists on keeping the ability to upgrade to the latest version whenever telligent releases an update. you can mostly support that by making all of your changes either in a separate project or by only modifying aspx/ascx files (no codebehinds). some kind of merge is going to be required though no matter how well you plan it out.",community-server
189,"you should probably write some automated tests for each condition you can think of, and then just start brainstorming more, writing the tests as you think of them.  this way, you can see for sure it will work, and will continue to work if you make further changes.  look up test driven development if you like the results.",vb.net date
190,"i've started using linqpad. in addition to being more lightweight than ssms, you can also practice writing linq queries- way more fun than boring old tsql ",sql-server
191,"i've seen plenty of people type their email address wrong and i've also looked through user databases full of invalid email address.    the way i see it you've got two options.  use a second box to confirm the input, or send an authentication/activation email.    both are annoyances so you get to choose which you think will annoy your users less.    most would argue that having to find an email and click on a link is more annoying, but it avoids the copy/paste a bad address issue, and it allows you to do things like delete or roll back users if they don't activate after say 48 hours.",html email forms confirm
192,"the reason why #1 is slower is that [\d;]+ is a greedy quantifier. using +  or *  is going to do lazy quantifing. see msdn - quantifiers for more info.    you may want to try:    ""(\e\[(\d{1,2};)* [mz] ) ""    that may be faster for you.",regex ansi
193,can you let us know that technology you are using as there are some intresting bits out there around this stuff and some short cuts... i.e. wse2 is complex beast and something that i dont like getting wrong     i dont like developers doing this and there are wse2 accelorators out there like ssl accelorates as the processing of encryption has a hugh cost best to take it out of process from the normal code and the development arena.  if this is an option for you - try look at this - forumsystems ,xml xml-signature
194,"within your overridden processcmdkey how are you determining which key has been pressed   the value of keydata (the second parameter) will change dependant on the key pressed and any modifier keys, so, for example, pressing the left arrow will return code 37, shift-left will return 65573, ctrl-left 131109 and alt-left 262181.  you can extract the modifiers and the key pressed by anding with appropriate enum values:protected override bool processcmdkey(ref message msg, keys keydata)  {      bool shiftpressed = (keydata &amp; keys.shift)  = 0;      keys unmodifiedkey = (keydata &amp; keys.keycode);        // rest of code goes here  }  ",c# user-interface directx
195,"i use msys-git on windows every single day. works fast and flawlessly.    although the newer build has some problems with git-svn, this build (git-1.5.5-preview20080413.exe) has a working git-svn.",version-control dvcs
196,"i'm not sure if this would be handled exactly the same way for webstart, but we ran into this situation in a desktop application when dealing with a set of native libraries (dlls in our case).    loading liba before libb should work, unless one of those libraries has a dependency that is unaccounted for and not in the path. my understanding is that once it gets to a system loadlibrary call (i.e. java has found the library in its java.library.path and is now telling the os to load it) - it is completely dependent on the operating system to find any dependent libraries, because at that point it is the operating system that is loading the library for the process, and the os only knows how to look in the system path. that seems hard to set in the case of a webstart app, but there is a way around this that does not involve static compiling. you may be able to shuffle where your libraries are - i am unsure     if you use a custom classloader, you can override loadlibrary and findlibrary so that it can locate your libraries from within a jar in your classpath, and if you also make it aware of your native library dependencies (i.e. libb depends on liba depends on libx, then when loading libb you can catch yourself and ensure you load liba first, and in checking that notice and load libx first. then the os doesn't try to find a library that isn't in your path. it's klunky and a bit painful, but ensuring java finds them and loads them all in the correct order can work.",java jni java-web-start nativelibrary
197,"you can't dynamically add methods to existing objects or classes in .net, except by changing the source for that class.    you can, however, in c# 3.0, use extension methods, which look like new methods, but are compile-time magic.    to do this for your code:    public static class stringextensions{    public static string trim(this string s)    {        return s.trim();    }}    to use it:    string s = ""  test  "";s = s.trim();    this looks like a new method, but will compile the exact same way as this code:    string s = ""  test  "";s = stringextensions.trim(s);    what exactly are you trying to accomplish  perhaps there are better ways of doing what you want ",c# .net
198,i've had great success with wsdl2php.  it will automatically create wrapper classes for all objects and methods used in your web service. ,php web-services visual-studio wsdl
199,"it's acceptable as long as you understand the consequences. the main reason you'd have a bll is to re-use that logic elsewhere throughout your application.    if you have all that validation logic in the presentation code, you're really making it difficult to re-use elsewhere within your application.",asp.net business-logic-layer objectdatasource
200,"datagrid was an asp.net 1.1 control, still supported. gridview arrived in 2.0, made certain tasks simpler added different databinding features:  this link has a comparison of datagrid and gridview features -  https://msdn.microsoft.com/en-us/library/05yye6k9(v=vs.100).aspx ",asp.net
201,"there are three key components (assuming ur using sql server):   sqlconnection sqlcommand sqldatareader   (if you're using something else, replace sql with ""something"", like mysqlconnection, oraclecommand)  everything else is just built on top of that.  example 1:  using (sqlconnection connection = new sqlconnection(""connection string"")) using (sqlcommand command = new sqlcommand()) {   command.commandtext = ""select name from users where status = @onlinestatus"";   command.connection = connection;   command.parameters.add(""@onlinestatus"", sqldbtype.int).value = 1; //replace with enum   connection.open();    using (sqldatareader dr = command.executereader))   {       list&lt;string&gt; onlineusers = new list&lt;string&gt;();        while (dr.read())       {          onlineusers.add(dr.getstring(0));       }   } }   example 2:  using (sqlconnection connection = new sqlconnection(""connection string"")) using (sqlcommand command = new sqlcommand()) {   command.commandtext = ""delete from users where email = @email"";   command.connection = connection;   command.parameters.add(""@email"", sqldbtype.varchar, 100).value = ""user@host.com"";   connection.open();   command.executenonquery(); }  ",ado.net
202,"i am a big fan of embarcadero's er/studio.  it is very powerful and produces excellent on-screen as well as printed results.  they have a free trial as well, so you should be able to get in and give it a shot without too much strife.  good luck  ",sql sql-server database diagram
203,"all of the following we use and integrate easiy in both our maven 2.x builds and eclipse/rad 7:   testing - junit/testng code analysis - findbugs, pmd code coverage - clover   in addition, in our maven builds we have:   jdepend tag checker (todo, fixme, etc)   furthermore, if you're using maven 2.x, codehaus has a collection of handy maven plugins in their mojo project.  note: clover has out-of-the-box integration with the bamboo ci server (since they're both atlassian products). there are also bamboo plugins for findbugs, pmd, and checkstyle but, as noted, the free hudson ci server has those too. ",java code-coverage static-analysis
204,"you didn't mention for what os, but the wmi redistributable components version 1.0 definitely exists.    for windows server 2003, the wmi sdk and redistributables are part of the server sdk    i believe that the same is true for the server 2008 sdk",windows 64bit wmi
205,from timocracy.com:    require 'rake'  require 'rake/rdoctask'  require 'rake/testtask'  require 'tasks/rails'    def capture_stdout    s = stringio.new    oldstdout = $stdout    $stdout = s    yield    s.string  ensure    $stdout = oldstdout  end    rake.application.rake_require '../../lib/tasks/metric_fetcher'  results = capture_stdout {rake.application['metric_fetcher'].invoke}  ,ruby rake command-line-interface
206,"http://www.easymaths.com/what_on_earth_is_bodmas.htm:     what do you think the answer to 2 + 3 x 5 is       is it (2 + 3) x 5 = 5 x 5 = 25        or 2 + (3 x 5) = 2 + 15 = 17        bodmas can come to the rescue and give us rules to follow so that we always get the right answer:      (b)rackets (o)rder (d)ivision (m)ultiplication (a)ddition (s)ubtraction      according to bodmas, multiplication should always be done before addition, therefore 17 is actually the correct answer according to bodmas and will also be the answer which your calculator will give if you type in 2 + 3 x 5 .   why it is useful in programming  no idea, but i assume it's because you can get rid of some brackets  i am a quite defensive programmer, so my lines can look like this:  result = (((i + 4) - (a + b)) * magic_number) - another_magic_number;   with bodmas you can make this a bit clearer:  result = (i + 4 - (a + b)) * magic_number - another_magic_number;   i think i'd still use the first variant - more brackets, but that way i do not have to learn yet another rule and i run into less risk of forgetting it and causing those weird hard to debug errors   just guessing at that part though.  mike stone edit: fixed math as gaius points out ",math
207,"you should take a look at the unpivot clause.  update1: gatekiller, strangely enough i read an article (about something unrelated) about it this morning and i'm trying to jog my memory where i saw it again, had some decent looking examples too. it'll come back to me i'm sure.  update2: found it: http://weblogs.sqlteam.com/jeffs/archive/2008/04/23/unpivot.aspx",sql-server sql-server-2005
208,"the problem with leading wildcards: they cannot be indexed, hence you're doing a full table scan.",sql-server full-text-search
209,"you could try signal averaging, i.e. for each point, average the value with the surrounding 3 or more points. if the noise blips are huge, then even this may not help.    i realise that this was language agnostic, but guessing that you are using labview, there are lots of pre-packaged signal processing vis that come with labview that you can use to do smoothing and noise reduction. the ni forums are a great place to get more specialised help on this sort of thing.",algorithm language-agnostic
210," choose project -> properties select configuration -> general in the box for how you should link mfc, choose to statically link it. choose linker -> input.  under additional dependencies, add any libraries you need your app to statically link in.   for more info, see this article: http://www.geekadmin.com/ p=34 ",c++ visual-studio
211,"i use it, especially since the hosted version of fugbugz is free for up to 2 people. i found it a lot nicer than paper as i'm working on multiple projects, and my paper tends to get rather messy once you start making annotations or if you want to re-organize and shuffle tasks around, mark them as complete only to see that they are not complete after all...  plus, the visual studio integration is really neat, something paper just cannot compete with. also, if you lay the project to rest for 6 months and come back, all your tasks and notes are still there, whereas with paper you may need to search all the old documents and notes again, if you did not discard it.  but that is just the point of view from someone who is not really good at staying organized :-) if you are a really tidy and organized person, paper may work better for you than it does for me.  bonus suggestion: run fogbugz on a second pc (or a small laptop like the eeepc) so that you always have it at your fingertips. the main problem with task tracking programs - be it fogbugz, outlook, excel or just notepad - is that they take up screen space, and my two monitors are usually full with visual studio, e-mail, web browsers, some notepads etc. ",fogbugz
212,"the framework included with vs9 is .net, but you can write tests in c++/cli, so as long as you're comfortable learning some .net isms, you should be able to test most any c++ code.  boost.test  and googletest look to be fairly similar, but adapted for slightly different uses. both of these have a binary component, so you'll need an extra project in your solution to compile and run the tests.  the framework we use is cxxtest, which is much lighter; it's headers only, and uses a perl ( ) script to scrape test suite information from your headers (suites inherit from cxxtest::base, all your test methods' names start with ""test""). obviously, this requires that you get perl from one source or another, which adds overhead to your build environment setup. ",c++ visual-studio unit-testing testing
213,"i know this is a little late in the game, but the url mentioned for the javascript is mentioned in a list of sites known to have been part of the asprox bot resurgence that started up in june (at least that's when we were getting flagged with it). some details about it are mentioned below:    http://www.bloombit.com/articles/2008/05/ascii-encoded-binary-string-automated-sql-injection.aspx     the nasty thing about this is that effectively every varchar type field in the database is ""infected"" to spit out a reference to this url, in which the the browser gets an tiny iframe that turns it into a bot. a basic sql fix for this can be found here:    http://aspadvice.com/blogs/programming_shorts/archive/2008/06/27/asprox-recovery.aspx    the scary thing though is that the virus looks to the system tables for values to infect and a lot of shared hosting plans also share the database space for their clients. so most likely it wasn't even your dad's site that was infected, but somebody else's site within his hosting cluster that wrote some poor code and opened the door to sql injection attack.    if he hasn't done so yet, i'd send an urgent e-mail to their host and give them a link to that sql code to fix the entire system. you can fix your own affected database tables, but most likely the bots that are doing the infection are going to pass right through that hole again and infect the whole lot.    hopefully this gives you some more info to work with.    edit: one more quick thought, if he's using one of the hosts online design tools for building his website, all of that content is probably sitting in a column and was infected that way.",security cracking hijacked
214,"    and if it matters at all, apache@localhost is not the name of the user account that i use to get into the database. i don't have any user accounts with the name apache in them at all for that matter.      if it is saying 'apache@localhost' the username is not getting passed correctly to the mysql connection. 'apache' is normally the user that runs the httpd process (at least on redhat-based systems) and if no username is passed during the connection mysql uses whomever is calling for the connection.    if you do the connection right in your script, not in a called file, do you get the same error ",php mysql
215,"you can use the row_number() function. its used as follows:  select row_number() over(order by username) as rowid, userfirstname, userlastname from users   from which it will yield a result set with a rowid field which you can use to page between.  select *  from      ( select row_number() over(order by username) as rowid, userfirstname, userlastname       from users      ) as rowresults where rowid between 5 and 10   etc ",sql sql-server-2005 paging
216,"it's called alpha blending.    in psuedocode, assuming the background color (blend) always has 255 alpha. also assumes alpha is 0-255.    alpha=argb.alpha()r = (alpha/255)*argb.r() + (1 - alpha/255)*blend.r()g = (alpha/255)*argb.g() + (1 - alpha/255)*blend.g()b = (alpha/255)*argb.b() + (1 - alpha/255)*blend.b()    note: you probably need to be a bit (more) careful about floating-point/int math and rounding issues, depending on language. cast intermediates accordingly    edited to add:    if you don't have a background color with an alpha of 255, the algebra gets alot more complicated. i've done it before and it's a fun exercise left to the reader (if you really need to know, ask another question :).     in other words, what color c blends into some background the same as blending a, then blending b. this is sort of like calculating a+b (which isn't the same as b+a).",c# colors
217,you need to handle the system.windows.forms.application.threadexception event for windows forms. this article really helped me: http://bytes.com/forum/thread236199.html. ,winforms error-handling user-controls
218,"well, one of the reaons why classes usually contain private members with public getters/setters is exactly because they can verify data.    if you have a number than can be between 1 and 100, i would definitely put something in the setter that validates that and then maybe throw an exception that is being caught by the code. the reason is simple: if you don't do it in the setter, you have to remember that 1 to 100 limitation every time you set it, which leads to duplicated code or when you forget it, it leads to an invalid state.    as for performance, i'm with knuth here:        ""we should forget about small efficiencies, say about 97% of the time: premature optimization is the root of all evil.""  ",optimization setter getter verification
219,"there's an out-twitter script i use for posting to twitter. it's nice, as it means you can send something to twitter without the risk of being distracted by a browser.    i added an alias for it, ""twit"".    so now you can type, for example:    ps c:\&gt;""trying out stack overflow"" | twit    and if successfully lodged, it will return an integer that identifies your post.",powershell cmdlets
220,"flash is certainly the most ubiquitous and portable solution.  98% of browsers have flash installed.  other alternatives are quicktime, windows media player, or even silverlight (microsoft's flash competitor, which can be used to embed several video formats).    i would recommend using flash (and it's flv video file format) for embedding your video unless you have very specific requirements as far as video quality or drm.",asp.net flash video embed
221,the glib library used on the gnome project may also be some use. moreover it is pretty well tested.  ibm developer works has a good tutorial on its use: manage c data using the glib collections ,c architecture data-structures
222,"firefox 30 ignores autocomplete=""off"" for passwords, opting to prompt the user instead whether the password should be stored on the client. note the following commentary from may 5, 2014:        the password manager always prompts if it wants to save a password. passwords are not saved without permission from the user.   we are the third browser to implement this change, after ie and chrome.      according to mozilla developer documentation the form element attribute autocomplete prevents form data from being cached in older browsers.  &lt;input type=""text"" name=""foo"" autocomplete=""off"" /&gt;  ",html autocomplete
223,"something like this   dim cars(2),x cars(0)=""volvo"" cars(1)=""saab"" cars(2)=""bmw""  for each x in cars   response.write(x &amp; ""&lt;br /&gt;"") next   see www.w3schools.com.  if you want to associate keys and values use a dictionary object instead:  dim objdictionary set objdictionary = createobject(""scripting.dictionary"") objdictionary.add ""name"", ""scott"" objdictionary.add ""age"", ""20"" if objdictionary.exists(""name"") then     ' do something else     ' do something else  end if  ",asp-classic vbscript
224,"it really depends on the sort of data you're bringing back.  since a dataset is (in effect) just a collection of datatable objects, you can return multiple distinct sets of data into a single, and therefore more manageable, object.    performance-wise, you're more likely to get inefficiency from unoptimized queries than from the ""wrong"" choice of .net construct.  at least, that's been my experience. ",c# dataset datatable
225,"i have found the solution else where:    select substring(master.dbo.fn_varbintohexstr(hashbytes('md5', 'helloworld')), 3, 32) ",sql sql-server
226,"i have only really used pl/pgsql, but that was because i needed a few stored procedures relatively fast and didn't want to add extra modules to the server.  longer term, i would probably use pl/perl or pl/python, as i use perl for quick scripting and have been looking at python for a while now.  one thing i have found is that there is a lack of good documentation for that on the postgresql site. the manuals were thorough as a reference, but did not work well as a tutorial to help show people how it should be done.  that, combined with a very good debugging environment, meant that my first experience of writing procedures involved looking at weird syntax errors for a long time.  if someone knows of a good site with tutorials etc for postgresql programming, i would love to get a link to it. ",sql database postgresql stored-procedures triggers
227,"this is more or less the perfect use case for svk.  svk is a command line front end for subversion that works with an entire local copy of the repository.  so your commits, updates, etc. work on the local repository and you can then sync with a master.  i would generally recommend svk over plain subversion anyway as it makes a lot of things nicer.  no .svn folders, better branching and merging, better conflict resolution. ",svn version-control
228,"there are so many it's crazy.  crazy good, i guess.   for the conservative types (me), nunit is still available and still more than capable. for the microsoft-types, mstest is adequate, but slow and clunky compared to nunit.  it also lacks code coverage without paying the big bucks for the pricey versions of visual studio. there's also mbunit.  it's like nunit, but has nifty features like rowtest (run the same test with different parameters) and rollback (put the database back like you found it after a test)  and finally, xunit.net is the trendy option with some attitude. oh, and testdriven.net will give you ide integration for both nunit and mbunit.   i'm sure they're all just fine.  i'd steer away from mstest though, unless you just enjoy the convenience of having everything in one ide out of the box.  scott hanselman has a podcast on this very topic. ",c# .net unit-testing testing
229,"you can not do this programatically (in a safe way that is) without creating a new table.   what enterprise manager does when you commit a reordering is to create a new table, move the data and then delete the old table and rename the new table to the existing name.   if you want your columns in a particular order/grouping without altering their physical order, you can create a view which can be whatever you desire.",sql-server
230,"it is possible to skip the step of creating the empty database. you can create the new database as part of the restore process.    this is actually the easiest and best way i know of to clone a database. you can eliminate errors by scripting the backup and restore process rather than running it through the sql server management studio    there are two other options you could explore:      detach the database, copy the .mdf file and re-attach.  use sql server integration services (ssis) to copy all the objects over      i suggest sticking with backup and restore and automating if necessary.",sql-server sql-server-2008
231,"not sure how credible this source is, but:     the windows server 2008 core edition can:         run the file server role.   run the hyper-v virtualization server role.   run the directory services role.   run the dhcp server role.   run the iis web server role.   run the dns server role.   run active directory lightweight directory services.   run the print server role.         the windows server 2008 core edition cannot:         run a sql server.   run an exchange server.   run internet explorer.   run windows explorer.   host a remote desktop session.   run mmc snap-in consoles locally.     ",sql-server windows-server-2008
232,"if you are quite happy with msbuild, then i would stick with msbuild.  this may be one of those cases where the tool you learn first is the one you will prefer.  i started with nant and can't quite get used to msbuild.  i'm sure they will both be around for quite some time.    there are some fundamental differences between the two, probably best highlighted by this conversation between some nant fans and a microsoftie.    interestingly, jeremy miller asked the exact opposite question on his blog last year.  ",.net .net-3.5 msbuild nant
233,"the way we do this is to have a 'catch all' for our domain name registered in dns so that anything.ourdomain.com will point to our server.  with apache you can set up a similar catch-all for your vhosts.  the servername must be a single static name but the serveralias directive can contain a pattern.  servername www.ourdomain.com serveralias *.ourdomain.com   now all of the domains will trigger the vhost for our project.  the final part is to decode the domain name actually used so that you can work out the username in your code, something like (php):  list( $username ) = explode( ""."", $_server[ ""http_host"" ] );   or a rewriterule as already suggested that silently maps user.ourdomain.com/foo/bar to www.ourdomain.com/foo/bar user=user or whatever you prefer. ",web-applications dns subdomain account
234,"you have basically two options. either you write a simple script that will start and parse output from  svn.exe info --revision head  to obtain revision number (then generating assemblyinfo.cs is pretty much straight forward) or just use plugin for ccnet. here it is:     svn revision labeller is a plugin for   cruisecontrol.net that allows you to   generate cruisecontrol labels for your   builds, based upon the revision number   of your subversion working copy. this   can be customised with a prefix and/or   major/minor version numbers.      http://code.google.com/p/svnrevisionlabeller/   i prefer the first option because it's only roughly 20 lines of code:  using system; using system.diagnostics;  namespace svnrevisionnumberparsersample {     class program     {         static void main()         {             process p = process.start(new processstartinfo()                 {                     filename = @""c:\program files\sliksvn\bin\svn.exe"", // path to your svn.exe                     useshellexecute = false,                     redirectstandardoutput = true,                     arguments = ""info --revision head"",                     workingdirectory = @""c:\myproject"" // path to your svn working copy                 });              // command ""svn.exe info --revision head"" will produce a few lines of output             p.waitforexit();              // our line starts with ""revision: ""             while ( p.standardoutput.endofstream)             {                 string line = p.standardoutput.readline();                 if (line.startswith(""revision: ""))                 {                     string revision = line.substring(""revision: "".length);                     console.writeline(revision); // show revision number on screen                                            break;                 }             }              console.read();         }     } }  ",svn msbuild cruisecontrol.net
235,"the exact definitions of ""vsize,"" ""rss,"" ""rprvt,"" ""rshrd,"" and other obscure-looking abbreviations vary from os to os.  the manual pages for the ""top"" and ""ps"" commands will have some sort of description, but all such descriptions are simplified greatly (or are based on long-extinct kernel implementations).  ""process size"" as a concept is fiendishly difficult to pin down in the general case.  answers in specific instances depend heavily on the actual memory management implementation in the os, and are rarely as satisfying as the tidy ""process size"" concept that exists in the minds of most users (and most developers).    for example, none of those numbers (nor, likely, any combination of them) can be used to tell you exactly how many such processes can run at once in a given amount of free memory.  but really, your best bet is to come at it from that end: why do you want this number, and what will you use it for   given that information, i think you'll get more useful answers.",unix size
236,"killing other processes is not a healthy thing to do. if your scenario involves something like uninstallation, you could use the movefileex api function to mark the file for deletion upon next reboot.  if it appears that you really need to delete a file in use by another process, i'd recommend re-considering the actual problem before considering any solutions. ",c# file-locking
237,"rex, i suspect a good place to start looking is solutions that compress the viewstate -- they're grabbing viewstate on the server before it's sent down to the client and gzipping it. that's exactly where you want to be.      scott hanselman on viewstate compression (2005)  viewstate compression with system.io.compression (2007)  ",c# asp.net
238,"@goyuix -- that's excellent for something written from memory. tested it here -- found the connection wasn't opened. otherwise very nice.  using system.data.oledb; ...  using (oledbconnection conn = new oledbconnection()) {     conn.connectionstring = ""provider=sqloledb;data source=yourservername\\yourinstance;initial catalog=databasename;integrated security=sspi;"";      using (oledbcommand cmd = new oledbcommand())     {         conn.open();         cmd.connection = conn;         cmd.commandtext = ""select * from yourtable"";          using (oledbdatareader dr = cmd.executereader())         {             while (dr.read())             {                 console.writeline(dr[""columnname""]);             }         }     } }  ",c# database loops connection
239,"i'm guessing that because you want to set it for all users, that you're on some kind of shared computer, which is probably running under a domain     here be dragons    let's say joe and jane regularly log onto the computer, then they will each have 'registries'.    you'll then install your app, and the installer will employ giant hacks and disgusting things to set items under hkcu for them.    then, bob will come along and log on (he, and 500 other people have accounts in the domain and so can do this). he's never used this computer before, so he has no registry. the first time he logs in, windows creates him one, but he won't have your setting.     your app then falls over or behaves incorrectly, and bob complains loudly about those crappy products from raynixon incorporated.    the correct answer is to just have some default settings in your app, which can write them to the registry if it doesn't find them. it's general good practice that your app should never depend on the registry, and should create things as needed, for any registry entry, not just hkcu, anyway",windows visual-studio registry installation
240,"with the ""built in"" stuff, you can't, as using 1.0.* or 1.0.0.* will replace the revision and build numbers with a coded date/timestamp, which is usually also a good way.   for more info, see the assembly linker documentation in the /v tag.  as for automatically incrementing numbers, use the assemblyinfo task:  assemblyinfo task  this can be configured to automatically increment the build number.  there are 2 gotchas:   each of the 4 numbers in the version string is limited to 65535. this is a windows limitation and unlikely to get fixed.  why are build numbers limited to 65535   using with with subversion requires a small change:  using msbuild to generate assembly version info at build time (including subversion fix)    retrieving the version number is then quite easy:  version v = assembly.getexecutingassembly().getname().version; string about = string.format(cultureinfo.invariantculture, @""yourapp version {0}.{1}.{2} (r{3})"", v.major, v.minor, v.build, v.revision);     and, to clarify: in .net or at least in c#, the build is actually the third number, not the fourth one as some people (for example delphi developers who are used to major.minor.release.build) might expect.  in .net, it's major.minor.build.revision. ",c# visual-studio versioning
241,"i've taken to hand-coding all of my ddl (creates/alter/delete) statements, adding them to my .sln as text files, and using normal versioning (using subversion, but any revision control should work). this way, i not only get the benefit of versioning, but updating live from dev/stage is the same process for code and database - tags, branches and so on work all the same.    otherwise, i agree redgate is expensive if you don't have a company buying it for you. if you can get a company to buy it for you though, it really is worth it ",sql-server sql-server-2005 deployment release-management
242,"no, what you're doing is fine. don't let those people confuse you.    if you've written the web services with .net then the reference proxies generated by .net are going to be quite suitable. the situation you describe (where you are both producer and consumer) is the ideal situation.    if you need to connect to a web services that is unknown at compile time, then you would want a more dynamic approach, where you deduce the 'shape' of the web service.     but start by using the auto generated proxy class, and don't worry about it until you hit a limitation. and when you do -- come back to stack overflow ;-)",.net web-services
243,"i would be a bit reluctant to use nested classes here.  what if you created an abstract base class for a ""multimedia driver"" to handle the back-end stuff (workhorse), and a separate class for the front-end work   the front-end class could take a pointer/reference to an implemented driver class (for the appropriate media type and situation) and perform the abstract operations on the workhorse structure.  my philosophy would be to go ahead and make both structures accessible to the client in a polished way, just under the assumption they would be used in tandem.  i would reference something like a qtextdocument in qt.  you provide a direct interface to the bare metal data handling, but pass the authority along to an object like a qtextedit to do the manipulation. ",c++ oop class nested-class
